Masked Account ID,Maked Primary Campaign,Stage,Account Type,Billing Zip/Postal Code,Fiscal Period,Close Date,Amount
0289,None,Closed Won,Household,91360,Q2-2016,6/28/2016,500
0289,None,Closed Won,Household,91360,Q3-2016,7/29/2016,500
0289,None,Closed Won,Household,91360,Q4-2016,11/18/2016,500
0289,None,Closed Won,Household,91360,Q3-2017,9/11/2017,800
0293,None,Closed Won,Household,91387,Q3-2019,8/14/2019,150
0293,None,Closed Won,Household,91387,Q4-2016,12/17/2016,10
0293,None,Closed Won,Household,91387,Q3-2018,9/26/2018,10
0293,None,Closed Won,Household,91387,Q4-2018,12/31/2018,10
0293,None,Closed Won,Household,91387,Q3-2019,8/27/2019,20
0293,None,Closed Won,Household,91387,Q4-2018,11/29/2018,25
0293,None,Closed Won,Household,91387,Q4-2017,12/4/2017,650
0302,None,Closed Won,Household,90049,Q4-2014,10/27/2014,200
0306,None,Closed Won,Corporate,92356,Q2-2019,5/31/2019,600
0307,None,Closed Won,Household,90034,Q1-2017,2/18/2017,500
0307,None,Closed Won,Household,90034,Q3-2018,9/13/2018,500
0308,None,Closed Won,Household,91723,Q4-2015,10/1/2015,600
0313,None,Closed Won,Household,91307,Q3-2019,9/24/2019,250
0319,None,Closed Won,Household,90272,Q3-2018,9/26/2018,100
0331,None,Closed Won,Household,,Q4-2017,11/17/2017,500
0334,None,Closed Won,Household,90049,Q3-2016,9/20/2016,25
0335,None,Closed Won,Household,90049,Q1-2019,2/21/2019,200
0335,None,Closed Won,Household,90049,Q4-2016,12/31/2016,100
0335,None,Closed Won,Household,90049,Q4-2020,12/31/2020,100
0336,None,Closed Won,Household,,Q4-2020,10/20/2020,200
0336,None,Closed Won,Household,,Q4-2015,12/18/2015,30
0336,None,Closed Won,Household,,Q2-2020,5/30/2020,500
0341,None,Closed Won,Household,92210,Q4-2022,11/1/2022,30000
0341,None,Closed Won,Household,92210,Q3-2016,9/17/2016,500
0343,None,Closed Won,Household,91011,Q3-2018,9/21/2018,250
0343,None,Closed Won,Household,91011,Q4-2016,10/13/2016,300
0343,None,Closed Won,Household,91011,Q3-2018,9/26/2018,500
0345,None,Closed Won,Household,34236,Q4-2018,10/1/2018,500
0348,None,Closed Won,Household,90077,Q2-2017,4/27/2017,150
0348,None,Closed Won,Household,90077,Q2-2022,6/3/2022,300
0353,None,Closed Won,Household,90232,Q3-2020,9/24/2020,200
0356,None,Closed Won,Household,10017,Q4-2019,12/20/2019,360
0365,None,Closed Won,Household,,Q2-2020,6/24/2020,500
0369,None,Closed Won,Household,93546,Q1-2014,1/29/2014,500
0372,None,Closed Won,Household,91311,Q2-2014,4/4/2014,200
0372,None,Closed Won,Household,91311,Q1-2014,3/10/2014,25
0384,None,Closed Won,Household,,Q4-2020,12/1/2020,75
0384,None,Closed Won,Household,,Q4-2021,10/21/2021,25
0384,None,Closed Won,Household,,Q4-2021,12/27/2021,100
0384,None,Closed Won,Household,,Q4-2022,11/30/2022,48.5
0385,None,Closed Won,Household,90064,Q3-2020,9/30/2020,250
0391,None,Closed Won,Household,91505,Q3-2020,7/31/2020,500
0399,None,Closed Won,Household,90212,Q4-2015,11/3/2015,100
0400,None,Closed Won,Household,90403,Q4-2018,12/9/2018,185
0400,None,Closed Won,Household,90403,Q3-2018,9/17/2018,500
0401,None,Closed Won,Household,93003,Q4-2020,11/4/2020,250
0402,None,Closed Won,Household,90035,Q4-2020,12/31/2020,500
0409,None,Closed Won,Household,,Q4-2014,12/8/2014,500
0414,None,Closed Won,Household,91607,Q4-2017,12/28/2017,100
0419,None,Closed Won,Household,06830,Q4-2019,11/25/2019,500
0420,None,Closed Won,Household,91436,Q2-2017,4/27/2017,100
0420,None,Closed Won,Household,91436,Q4-2018,12/5/2018,200
0420,None,Closed Won,Household,91436,Q2-2016,5/3/2016,420
0420,None,Closed Won,Household,91436,Q3-2016,8/1/2016,420
0421,None,Closed Won,Household,91775,Q4-2017,11/11/2017,500
0434,None,Closed Won,Household,91105,Q2-2015,5/15/2015,300
0434,None,Closed Won,Household,91105,Q3-2014,9/3/2014,144
0443,None,Closed Won,Corporate,90403,Q4-2018,10/9/2018,350
0444,None,Closed Won,Household,90291,Q3-2016,8/29/2016,250
0449,None,Closed Won,Household,91343,Q4-2020,12/15/2020,300
0449,None,Closed Won,Household,91343,Q4-2020,10/20/2020,20
0490,None,Closed Won,Household,90049,Q1-2014,1/14/2014,100
0490,None,Closed Won,Household,90049,Q4-2016,11/16/2016,100
0491,None,Closed Won,Household,90803,Q4-2015,12/18/2015,300
0494,None,Closed Won,Household,90272,Q4-2015,10/26/2015,256.6
0494,None,Closed Won,Household,90272,Q4-2016,12/30/2016,250
0494,None,Closed Won,Household,90272,Q4-2017,12/21/2017,250
0494,None,Closed Won,Household,90272,Q4-2018,11/28/2018,250
0494,None,Closed Won,Household,90272,Q4-2019,11/7/2019,250
0494,None,Closed Won,Household,90272,Q4-2020,11/17/2020,250
0494,None,Closed Won,Household,90272,Q4-2021,12/2/2021,250
0495,None,Closed Won,Household,90046,Q4-2015,12/31/2015,250
0505,None,Closed Won,Corporate,90714,Q1-2020,2/14/2020,202.41
0505,None,Closed Won,Corporate,90714,Q2-2019,4/15/2019,297.78
0514,None,Closed Won,Household,90277,Q4-2014,10/10/2014,250
0514,None,Closed Won,Household,90277,Q3-2018,9/26/2018,250
0514,None,Closed Won,Household,90277,Q3-2019,7/22/2019,250
0523,None,Closed Won,Household,,Q4-2014,12/9/2014,250
0524,None,Closed Won,Household,91423,Q4-2015,12/31/2015,100
0524,None,Closed Won,Household,91423,Q1-2017,3/3/2017,0
0525,None,Closed Won,Household,,Q3-2019,9/20/2019,250
0530,None,Closed Won,Household,32832,Q3-2020,9/24/2020,150
